Category,category_id,Subcategory,subcateogory_id,amount,year
産業振興,20130100,農林水産業,20130101,930939,2013
産業振興,20130100,商工,20130102,15342322,2013
子育て・教育,20130200,子ども青少年（児童福祉費）,20130201,36770089,2013
子育て・教育,20130200,学校教育,20130202,13676369,2013
子育て・教育,20130200,生涯教育・スポーツ振興,20130203,4819889,2013
健康福祉,20130300,社会福祉,20130301,41212456,2013
健康福祉,20130300,生活保護,20130302,23291033,2013
健康福祉,20130300,健康（保健衛生費）,20130303,10303373,2013
健康福祉,20130300,雇用対策・労働者支援（労働費）,20130304,1051530,2013
まちづくり,20130400,道路橋りょう,20130401,8715378,2013
まちづくり,20130400,河川,20130402,454274,2013
まちづくり,20130400,都市計画,20130403,16521628,2013
まちづくり,20130400,公園,20130404,1763956,2013
まちづくり,20130400,住宅,20130405,797396,2013
環境,20130500,環境保全,20130501,690982,2013
環境,20130500,環境美化（清掃費）,20130502,10698063,2013
消防・防災,20130600,消防,20130601,7880390,2013
消防・防災,20130600,災害復旧,20130602,160000,2013
公債費,20130700,公債費,20130701,23474427,2013
総務,20130800,市民生活,20130801,7345485,2013
総務,20130800,その他総務費,20130802,17537157,2013
議会,20130900,議会,20130901,1062864,2013
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
